year,make,model,status,pdf_year
2020,Audi,E Tron,missing,
2021,Audi,E Tron,missing,
2022,Audi,E Tron,missing,
2023,Audi,E Tron,missing,
2022,Audi,E Tron S,missing,
2023,Audi,E Tron S,missing,
2022,Audi,Q4 E Tron,missing,
2023,Audi,Q4 E Tron,missing,
2024,Audi,Q4 E Tron,missing,
2025,Audi,Q4 E Tron,missing,
2025,Audi,Q4 E Tron Sportback,missing,
2020,Audi,Q5 E,missing,
2021,Audi,Q5 E,missing,
2022,Audi,Q5 E,missing,
2023,Audi,Q5 E,missing,
2024,Audi,Q5 E,missing,
2013,Audi,Q5 Hybrid,missing,
2014,Audi,Q5 Hybrid,missing,
2015,Audi,Q5 Hybrid,missing,
2016,Audi,Q5 Hybrid,missing,
2025,Audi,Q5 Sportback,missing,
2025,Audi,Q6 E Tron,missing,
2007,Audi,Q7,missing,
2025,Audi,Q8,missing,
2024,Audi,Q8 E Tron,missing,
2025,Audi,Q8 E Tron,missing,
2025,Audi,Q8 E Tron Sportback,missing,
2008,Audi,R8,missing,
2009,Audi,R8,missing,
2010,Audi,R8,missing,
2011,Audi,R8,missing,
2012,Audi,R8,missing,
2014,Audi,R8,missing,
2015,Audi,R8,missing,
2017,Audi,R8,missing,
2018,Audi,R8,missing,
2020,Audi,R8,missing,
2021,Audi,R8,missing,
2022,Audi,R8,missing,
2023,Audi,R8,missing,
2017,Audi,RS 3,missing,
2018,Audi,RS 3,missing,
2019,Audi,RS 3,missing,
2020,Audi,RS 3,missing,
2022,Audi,RS 3,missing,
2023,Audi,RS 3,missing,
2024,Audi,RS 3,missing,
2007,Audi,RS 4,missing,
2008,Audi,RS 4,missing,
2013,Audi,RS 5,missing,
2014,Audi,RS 5,missing,
2015,Audi,RS 5,missing,
2018,Audi,RS 5,missing,
2019,Audi,RS 5,missing,
2021,Audi,RS 5,missing,
2022,Audi,RS 5,missing,
2023,Audi,RS 5,missing,
2024,Audi,RS 5,missing,
2025,Audi,RS 5 Coupe,missing,
2025,Audi,RS 5 Sportback,missing,
2021,Audi,RS 6 Avant,missing,
2022,Audi,RS 6 Avant,missing,
2023,Audi,RS 6 Avant,missing,
2024,Audi,RS 6 Avant,missing,
2025,Audi,RS 6 Avant,missing,
2014,Audi,RS 7,missing,
2015,Audi,RS 7,missing,
2016,Audi,RS 7,missing,
2017,Audi,RS 7,missing,
2018,Audi,RS 7,missing,
2021,Audi,RS 7,missing,
2022,Audi,RS 7,missing,
2023,Audi,RS 7,missing,
2024,Audi,RS 7,missing,
2025,Audi,RS 7,missing,
2022,Audi,RS E Tron GT,missing,
2023,Audi,RS E Tron GT,missing,
2024,Audi,RS E Tron GT,missing,
2025,Audi,RS E Tron GT,missing,
2020,Audi,RS Q8,missing,
2021,Audi,RS Q8,missing,
2022,Audi,RS Q8,missing,
2023,Audi,RS Q8,missing,
2024,Audi,RS Q8,missing,
2025,Audi,RS Q8,missing,
2003,Audi,RS6,missing,
2025,Audi,S E Tron GT,missing,
2015,Audi,S3,missing,
2016,Audi,S3,missing,
2017,Audi,S3,missing,
2018,Audi,S3,missing,
2019,Audi,S3,missing,
2020,Audi,S3,missing,
2022,Audi,S3,missing,
2023,Audi,S3,missing,
2024,Audi,S3,missing,
2025,Audi,S3,missing,
2000,Audi,S4,missing,
2001,Audi,S4,missing,
2002,Audi,S4,missing,
2004,Audi,S4,missing,
2005,Audi,S4,missing,
2006,Audi,S4,missing,
2007,Audi,S4,missing,
2008,Audi,S4,missing,
2009,Audi,S4,missing,
2010,Audi,S4,missing,
2011,Audi,S4,missing,
2012,Audi,S4,missing,
2013,Audi,S4,missing,
2014,Audi,S4,missing,
2015,Audi,S4,missing,
2016,Audi,S4,missing,
2018,Audi,S4,missing,
2019,Audi,S4,missing,
2020,Audi,S4,missing,
2021,Audi,S4,missing,
2022,Audi,S4,missing,
2023,Audi,S4,missing,
2024,Audi,S4,missing,
2025,Audi,S4 Sedan,missing,
2008,Audi,S5,missing,
2009,Audi,S5,missing,
2010,Audi,S5,missing,
2011,Audi,S5,missing,
2012,Audi,S5,missing,
2013,Audi,S5,missing,
2014,Audi,S5,missing,
2015,Audi,S5,missing,
2016,Audi,S5,missing,
2017,Audi,S5,missing,
2018,Audi,S5,missing,
2019,Audi,S5,missing,
2020,Audi,S5,missing,
2021,Audi,S5,missing,
2022,Audi,S5,missing,
2023,Audi,S5,missing,
2024,Audi,S5,missing,
2025,Audi,S5,missing,
2025,Audi,S5 Coupe,missing,
2025,Audi,S5 Sportback,missing,
2002,Audi,S6,missing,
2003,Audi,S6,missing,
2007,Audi,S6,missing,
2008,Audi,S6,missing,
2009,Audi,S6,missing,
2010,Audi,S6,missing,
2011,Audi,S6,missing,
2013,Audi,S6,missing,
2014,Audi,S6,missing,
2015,Audi,S6,missing,
2016,Audi,S6,missing,
2017,Audi,S6,missing,
2018,Audi,S6,missing,
2020,Audi,S6,missing,
2021,Audi,S6,missing,
2022,Audi,S6,missing,
2023,Audi,S6,missing,
2024,Audi,S6,missing,
2025,Audi,S6 Sedan,missing,
2013,Audi,S7,missing,
2014,Audi,S7,missing,
2015,Audi,S7,missing,
2016,Audi,S7,missing,
2017,Audi,S7,missing,
2018,Audi,S7,missing,
2020,Audi,S7,missing,
2021,Audi,S7,missing,
2022,Audi,S7,missing,
2023,Audi,S7,missing,
2024,Audi,S7,missing,
2025,Audi,S7,missing,
2001,Audi,S8,missing,
2002,Audi,S8,missing,
2003,Audi,S8,missing,
2007,Audi,S8,missing,
2008,Audi,S8,missing,
2009,Audi,S8,missing,
2013,Audi,S8,missing,
2014,Audi,S8,missing,
2015,Audi,S8,missing,
2016,Audi,S8,missing,
2017,Audi,S8,missing,
2018,Audi,S8,missing,
2020,Audi,S8,missing,
2021,Audi,S8,missing,
2022,Audi,S8,missing,
2023,Audi,S8,missing,
2024,Audi,S8,missing,
2025,Audi,S8,missing,
2014,Audi,SQ5,missing,
2015,Audi,SQ5,missing,
2016,Audi,SQ5,missing,
2017,Audi,SQ5,missing,
2018,Audi,SQ5,missing,
2019,Audi,SQ5,missing,
2020,Audi,SQ5,missing,
2021,Audi,SQ5,missing,
2022,Audi,SQ5,missing,
2023,Audi,SQ5,missing,
2024,Audi,SQ5,missing,
2025,Audi,SQ5,missing,
2025,Audi,SQ5 Sportback,missing,
2025,Audi,SQ6 E Tron,missing,
2020,Audi,SQ7,missing,
2021,Audi,SQ7,missing,
2022,Audi,SQ7,missing,
2023,Audi,SQ7,missing,
2024,Audi,SQ7,missing,
2025,Audi,SQ7,missing,
2020,Audi,SQ8,missing,
2021,Audi,SQ8,missing,
2022,Audi,SQ8,missing,
2023,Audi,SQ8,missing,
2024,Audi,SQ8,missing,
2025,Audi,SQ8,missing,
2024,Audi,SQ8 E Tron,missing,
2025,Audi,SQ8 E Tron,missing,
2025,Audi,SQ8 E Tron Sportback,missing,
2000,Audi,TT,missing,
2001,Audi,TT,missing,
2002,Audi,TT,missing,
2003,Audi,TT,missing,
2004,Audi,TT,missing,
2005,Audi,TT,missing,
2006,Audi,TT,missing,
2008,Audi,TT,missing,
2009,Audi,TT,missing,
2012,Audi,TT RS,missing,
2013,Audi,TT RS,missing,
2018,Audi,TT RS,missing,
2019,Audi,TT RS,missing,
2020,Audi,TT RS,missing,
2021,Audi,TT RS,missing,
2022,Audi,TT RS,missing,
2010,Audi,TTS,missing,
2011,Audi,TTS,missing,
2012,Audi,TTS,missing,
2013,Audi,TTS,missing,
2014,Audi,TTS,missing,
2015,Audi,TTS,missing,
2016,Audi,TTS,missing,
2017,Audi,TTS,missing,
2018,Audi,TTS,missing,
2019,Audi,TTS,missing,
2020,Audi,TTS,missing,
2021,Audi,TTS,missing,
2022,Audi,TTS,missing,
2023,Audi,TTS,missing,
2011,BMW,1 Series M,missing,
2008,BMW,128,missing,
2009,BMW,128,missing,
2010,BMW,128,missing,
2011,BMW,128,missing,
2012,BMW,128,missing,
2013,BMW,128,missing,
2008,BMW,135,missing,
2009,BMW,135,missing,
2010,BMW,135,missing,
2011,BMW,135,missing,
2012,BMW,135,missing,
2013,BMW,135,missing,
2014,BMW,228,missing,
2015,BMW,228,missing,
2016,BMW,228,missing,
2026,BMW,228,missing,
2020,BMW,228 Gran Coupe,missing,
2021,BMW,228 Gran Coupe,missing,
2022,BMW,228 Gran Coupe,missing,
2023,BMW,228 Gran Coupe,missing,
2024,BMW,228 Gran Coupe,missing,
2017,BMW,230,missing,
2018,BMW,230,missing,
2019,BMW,230,missing,
2020,BMW,230,missing,
2021,BMW,230,missing,
2022,BMW,230,missing,
2023,BMW,230,missing,
2024,BMW,230,missing,
2025,BMW,230,missing,
2013,BMW,320,missing,
2014,BMW,320,missing,
2015,BMW,320,missing,
2016,BMW,320,missing,
2017,BMW,320,missing,
2018,BMW,320,missing,
2000,BMW,323,missing,
2001,BMW,325,missing,
2002,BMW,325,missing,
2003,BMW,325,missing,
2004,BMW,325,missing,
2005,BMW,325,missing,
2006,BMW,325,missing,
2000,BMW,328,missing,
2007,BMW,328,missing,
2008,BMW,328,missing,
2009,BMW,328,missing,
2010,BMW,328,missing,
2011,BMW,328,missing,
2012,BMW,328,missing,
2013,BMW,328,missing,
2014,BMW,328,missing,
2015,BMW,328,missing,
2016,BMW,328,missing,
2014,BMW,328 Gran Turismo,missing,
2015,BMW,328 Gran Turismo,missing,
2016,BMW,328 Gran Turismo,missing,
2014,BMW,328d,missing,
2015,BMW,328d,missing,
2016,BMW,328d,missing,
2017,BMW,328d,missing,
2018,BMW,328d,missing,
2001,BMW,330,missing,
2002,BMW,330,missing,
2003,BMW,330,missing,
2004,BMW,330,missing,
2005,BMW,330,missing,
2006,BMW,330,missing,
2017,BMW,330,missing,
2018,BMW,330,missing,
2019,BMW,330,missing,
2020,BMW,330,missing,
2021,BMW,330,missing,
2022,BMW,330,missing,
2023,BMW,330,missing,
2024,BMW,330,missing,
2025,BMW,330,missing,
2017,BMW,330 Gran Turismo,missing,
2018,BMW,330 Gran Turismo,missing,
2019,BMW,330 Gran Turismo,missing,
2016,BMW,330e,missing,
2017,BMW,330e,missing,
2018,BMW,330e,missing,
2021,BMW,330e,missing,
2022,BMW,330e,missing,
2023,BMW,330e,missing,
2024,BMW,330e,missing,
