year,make,model,status,pdf_year
2023,Lamborghini,Huracan Sterrato,missing,
2024,Lamborghini,Huracan Sterrato,missing,
2023,Lamborghini,Huracan Tecnica,missing,
2024,Lamborghini,Huracan Tecnica,missing,
2002,Lamborghini,Murcielago,missing,
2003,Lamborghini,Murcielago,missing,
2004,Lamborghini,Murcielago,missing,
2005,Lamborghini,Murcielago,missing,
2006,Lamborghini,Murcielago,missing,
2007,Lamborghini,Murcielago,missing,
2008,Lamborghini,Murcielago,missing,
2009,Lamborghini,Murcielago,missing,
2010,Lamborghini,Murcielago,missing,
2024,Lamborghini,Revuelto,missing,
2019,Lamborghini,Urus,missing,
2020,Lamborghini,Urus,missing,
2021,Lamborghini,Urus,missing,
2022,Lamborghini,Urus,missing,
2023,Lamborghini,Urus,missing,
2024,Lamborghini,Urus,missing,
2025,Lamborghini,Urus,missing,
2026,Land Rover,Discovery,missing,
2024,Land Rover,Discovery Sport,missing,
2008,Land Rover,LR2,missing,
2009,Land Rover,LR2,missing,
2010,Land Rover,LR2,missing,
2011,Land Rover,LR2,missing,
2012,Land Rover,LR2,missing,
2013,Land Rover,LR2,missing,
2014,Land Rover,LR2,missing,
2015,Land Rover,LR2,missing,
2005,Land Rover,LR3,missing,
2006,Land Rover,LR3,missing,
2007,Land Rover,LR3,missing,
2008,Land Rover,LR3,missing,
2009,Land Rover,LR3,missing,
2010,Land Rover,LR4,missing,
2011,Land Rover,LR4,missing,
2012,Land Rover,LR4,missing,
2013,Land Rover,LR4,missing,
2014,Land Rover,LR4,missing,
2015,Land Rover,LR4,missing,
2016,Land Rover,LR4,missing,
2022,Land Rover,NEW Range Rover,missing,
2022,Land Rover,Range Rover,missing,
2023,Land Rover,Range Rover,missing,
2024,Land Rover,Range Rover,missing,
2025,Land Rover,Range Rover,missing,
2026,Land Rover,Range Rover Evoque,missing,
2023,Land Rover,Range Rover Sport,missing,
2024,Land Rover,Range Rover Sport,missing,
2025,Land Rover,Range Rover Sport,missing,
2026,Land Rover,Range Rover Velar,missing,
2011,Lexus,CT 200h,missing,
2012,Lexus,CT 200h,missing,
2013,Lexus,CT 200h,missing,
2014,Lexus,CT 200h,missing,
2015,Lexus,CT 200h,missing,
2016,Lexus,CT 200h,missing,
2017,Lexus,CT 200h,missing,
2021,Lexus,ES 250,missing,
2022,Lexus,ES 250,missing,
2023,Lexus,ES 250,missing,
2024,Lexus,ES 250,missing,
2025,Lexus,ES 250,missing,
2000,Lexus,ES 300,missing,
2001,Lexus,ES 300,missing,
2002,Lexus,ES 300,missing,
2003,Lexus,ES 300,missing,
2013,Lexus,ES 300h,missing,
2014,Lexus,ES 300h,missing,
2015,Lexus,ES 300h,missing,
2016,Lexus,ES 300h,missing,
2017,Lexus,ES 300h,missing,
2018,Lexus,ES 300h,missing,
2019,Lexus,ES 300h,missing,
2020,Lexus,ES 300h,missing,
2021,Lexus,ES 300h,missing,
2022,Lexus,ES 300h,missing,
2023,Lexus,ES 300h,missing,
2024,Lexus,ES 300h,missing,
2025,Lexus,ES 300h,missing,
2004,Lexus,ES 330,missing,
2005,Lexus,ES 330,missing,
2006,Lexus,ES 330,missing,
2007,Lexus,ES 350,missing,
2008,Lexus,ES 350,missing,
2009,Lexus,ES 350,missing,
2010,Lexus,ES 350,missing,
2011,Lexus,ES 350,missing,
2012,Lexus,ES 350,missing,
2013,Lexus,ES 350,missing,
2014,Lexus,ES 350,missing,
2015,Lexus,ES 350,missing,
2016,Lexus,ES 350,missing,
2017,Lexus,ES 350,missing,
2018,Lexus,ES 350,missing,
2019,Lexus,ES 350,missing,
2020,Lexus,ES 350,missing,
2021,Lexus,ES 350,missing,
2022,Lexus,ES 350,missing,
2023,Lexus,ES 350,missing,
2024,Lexus,ES 350,missing,
2025,Lexus,ES 350,missing,
2016,Lexus,GS 200t,missing,
2017,Lexus,GS 200t,missing,
2000,Lexus,GS 300,missing,
2001,Lexus,GS 300,missing,
2002,Lexus,GS 300,missing,
2003,Lexus,GS 300,missing,
2004,Lexus,GS 300,missing,
2005,Lexus,GS 300,missing,
2006,Lexus,GS 300,missing,
2018,Lexus,GS 300,missing,
2019,Lexus,GS 300,missing,
2007,Lexus,GS 350,missing,
2008,Lexus,GS 350,missing,
2009,Lexus,GS 350,missing,
2010,Lexus,GS 350,missing,
2011,Lexus,GS 350,missing,
2013,Lexus,GS 350,missing,
2014,Lexus,GS 350,missing,
2015,Lexus,GS 350,missing,
2016,Lexus,GS 350,missing,
2017,Lexus,GS 350,missing,
2018,Lexus,GS 350,missing,
2019,Lexus,GS 350,missing,
2020,Lexus,GS 350,missing,
2000,Lexus,GS 400,missing,
2001,Lexus,GS 430,missing,
2002,Lexus,GS 430,missing,
2003,Lexus,GS 430,missing,
2004,Lexus,GS 430,missing,
2005,Lexus,GS 430,missing,
2006,Lexus,GS 430,missing,
2007,Lexus,GS 430,missing,
2007,Lexus,GS 450h,missing,
2008,Lexus,GS 450h,missing,
2009,Lexus,GS 450h,missing,
2010,Lexus,GS 450h,missing,
2011,Lexus,GS 450h,missing,
2013,Lexus,GS 450h,missing,
2014,Lexus,GS 450h,missing,
2015,Lexus,GS 450h,missing,
2016,Lexus,GS 450h,missing,
2017,Lexus,GS 450h,missing,
2018,Lexus,GS 450h,missing,
2008,Lexus,GS 460,missing,
2009,Lexus,GS 460,missing,
2010,Lexus,GS 460,missing,
2011,Lexus,GS 460,missing,
2016,Lexus,GS F,missing,
2017,Lexus,GS F,missing,
2018,Lexus,GS F,missing,
2019,Lexus,GS F,missing,
2020,Lexus,GS F,missing,
2010,Lexus,GX 460,missing,
2011,Lexus,GX 460,missing,
2012,Lexus,GX 460,missing,
2013,Lexus,GX 460,missing,
2014,Lexus,GX 460,missing,
2015,Lexus,GX 460,missing,
2016,Lexus,GX 460,missing,
2017,Lexus,GX 460,missing,
2018,Lexus,GX 460,missing,
2019,Lexus,GX 460,missing,
2020,Lexus,GX 460,missing,
2021,Lexus,GX 460,missing,
2022,Lexus,GX 460,missing,
2023,Lexus,GX 460,missing,
2003,Lexus,GX 470,missing,
2004,Lexus,GX 470,missing,
2005,Lexus,GX 470,missing,
2006,Lexus,GX 470,missing,
2007,Lexus,GX 470,missing,
2008,Lexus,GX 470,missing,
2009,Lexus,GX 470,missing,
2024,Lexus,GX 550,missing,
2025,Lexus,GX 550,missing,
2010,Lexus,HS 250h,missing,
2011,Lexus,HS 250h,missing,
2012,Lexus,HS 250h,missing,
2016,Lexus,IS 200t,missing,
2017,Lexus,IS 200t,missing,
2006,Lexus,IS 250,missing,
2007,Lexus,IS 250,missing,
2008,Lexus,IS 250,missing,
2009,Lexus,IS 250,missing,
2010,Lexus,IS 250,missing,
2011,Lexus,IS 250,missing,
2012,Lexus,IS 250,missing,
2013,Lexus,IS 250,missing,
2014,Lexus,IS 250,missing,
2015,Lexus,IS 250,missing,
2010,Lexus,IS 250c,missing,
2011,Lexus,IS 250c,missing,
2012,Lexus,IS 250c,missing,
2013,Lexus,IS 250c,missing,
2014,Lexus,IS 250c,missing,
2015,Lexus,IS 250c,missing,
2001,Lexus,IS 300,missing,
2002,Lexus,IS 300,missing,
2003,Lexus,IS 300,missing,
2004,Lexus,IS 300,missing,
2005,Lexus,IS 300,missing,
2016,Lexus,IS 300,missing,
2017,Lexus,IS 300,missing,
2018,Lexus,IS 300,missing,
2019,Lexus,IS 300,missing,
2020,Lexus,IS 300,missing,
2021,Lexus,IS 300,missing,
2022,Lexus,IS 300,missing,
2023,Lexus,IS 300,missing,
2024,Lexus,IS 300,missing,
2025,Lexus,IS 300,missing,
2006,Lexus,IS 350,missing,
2007,Lexus,IS 350,missing,
2008,Lexus,IS 350,missing,
2009,Lexus,IS 350,missing,
2010,Lexus,IS 350,missing,
2011,Lexus,IS 350,missing,
2012,Lexus,IS 350,missing,
2013,Lexus,IS 350,missing,
2014,Lexus,IS 350,missing,
2015,Lexus,IS 350,missing,
2016,Lexus,IS 350,missing,
2017,Lexus,IS 350,missing,
2018,Lexus,IS 350,missing,
2019,Lexus,IS 350,missing,
2020,Lexus,IS 350,missing,
2021,Lexus,IS 350,missing,
2022,Lexus,IS 350,missing,
2023,Lexus,IS 350,missing,
2024,Lexus,IS 350,missing,
2025,Lexus,IS 350,missing,
2010,Lexus,IS 350c,missing,
2011,Lexus,IS 350c,missing,
2012,Lexus,IS 350c,missing,
2013,Lexus,IS 350c,missing,
2014,Lexus,IS 350c,missing,
2015,Lexus,IS 350c,missing,
2022,Lexus,IS 500,missing,
2023,Lexus,IS 500,missing,
2024,Lexus,IS 500,missing,
2025,Lexus,IS 500,missing,
2008,Lexus,IS F,missing,
2009,Lexus,IS F,missing,
2010,Lexus,IS F,missing,
2011,Lexus,IS F,missing,
2012,Lexus,IS F,missing,
2013,Lexus,IS F,missing,
2014,Lexus,IS F,missing,
2018,Lexus,LC 500,missing,
2019,Lexus,LC 500,missing,
2020,Lexus,LC 500,missing,
2021,Lexus,LC 500,missing,
2022,Lexus,LC 500,missing,
2023,Lexus,LC 500,missing,
2024,Lexus,LC 500,missing,
2025,Lexus,LC 500,missing,
2018,Lexus,LC 500h,missing,
2019,Lexus,LC 500h,missing,
2020,Lexus,LC 500h,missing,
2021,Lexus,LC 500h,missing,
2022,Lexus,LC 500h,missing,
2023,Lexus,LC 500h,missing,
2024,Lexus,LC 500h,missing,
2025,Lexus,LC 500h,missing,
2012,Lexus,LFA,missing,
2000,Lexus,LS 400,missing,
2001,Lexus,LS 430,missing,
2002,Lexus,LS 430,missing,
2003,Lexus,LS 430,missing,
2004,Lexus,LS 430,missing,
2005,Lexus,LS 430,missing,
2006,Lexus,LS 430,missing,
2007,Lexus,LS 460,missing,
2008,Lexus,LS 460,missing,
2009,Lexus,LS 460,missing,
2010,Lexus,LS 460,missing,
2011,Lexus,LS 460,missing,
2012,Lexus,LS 460,missing,
2013,Lexus,LS 460,missing,
2014,Lexus,LS 460,missing,
2015,Lexus,LS 460,missing,
2016,Lexus,LS 460,missing,
2017,Lexus,LS 460,missing,
2018,Lexus,LS 500,missing,
2019,Lexus,LS 500,missing,
2020,Lexus,LS 500,missing,
2021,Lexus,LS 500,missing,
2022,Lexus,LS 500,missing,
2023,Lexus,LS 500,missing,
2024,Lexus,LS 500,missing,
2025,Lexus,LS 500,missing,
2018,Lexus,LS 500h,missing,
2019,Lexus,LS 500h,missing,
2020,Lexus,LS 500h,missing,
2021,Lexus,LS 500h,missing,
2022,Lexus,LS 500h,missing,
2023,Lexus,LS 500h,missing,
2024,Lexus,LS 500h,missing,
2025,Lexus,LS 500h,missing,
2008,Lexus,LS 600h,missing,
2009,Lexus,LS 600h,missing,
2010,Lexus,LS 600h,missing,
2011,Lexus,LS 600h,missing,
2012,Lexus,LS 600h,missing,
2013,Lexus,LS 600h,missing,
2014,Lexus,LS 600h,missing,
2015,Lexus,LS 600h,missing,
2016,Lexus,LS 600h,missing,
2000,Lexus,LX 470,missing,
2001,Lexus,LX 470,missing,
2002,Lexus,LX 470,missing,
2003,Lexus,LX 470,missing,
2004,Lexus,LX 470,missing,
2005,Lexus,LX 470,missing,
2006,Lexus,LX 470,missing,
2007,Lexus,LX 470,missing,
2008,Lexus,LX 570,missing,
2009,Lexus,LX 570,missing,
2010,Lexus,LX 570,missing,
2011,Lexus,LX 570,missing,
2013,Lexus,LX 570,missing,
2014,Lexus,LX 570,missing,
2015,Lexus,LX 570,missing,
2016,Lexus,LX 570,missing,
2017,Lexus,LX 570,missing,
2018,Lexus,LX 570,missing,
2019,Lexus,LX 570,missing,
2020,Lexus,LX 570,missing,
2021,Lexus,LX 570,missing,
2022,Lexus,LX 600,missing,
2023,Lexus,LX 600,missing,
2024,Lexus,LX 600,missing,
2015,Lexus,NX 200t,missing,
2016,Lexus,NX 200t,missing,
2017,Lexus,NX 200t,missing,
2022,Lexus,NX 250,missing,
2023,Lexus,NX 250,missing,
2024,Lexus,NX 250,missing,
2025,Lexus,NX 250,missing,
2018,Lexus,NX 300,missing,
2019,Lexus,NX 300,missing,
2020,Lexus,NX 300,missing,
2021,Lexus,NX 300,missing,
2015,Lexus,NX 300h,missing,
2016,Lexus,NX 300h,missing,
2017,Lexus,NX 300h,missing,
2018,Lexus,NX 300h,missing,
2019,Lexus,NX 300h,missing,
2020,Lexus,NX 300h,missing,
2021,Lexus,NX 300h,missing,
2022,Lexus,NX 350,missing,
2023,Lexus,NX 350,missing,
2024,Lexus,NX 350,missing,
2025,Lexus,NX 350,missing,
2022,Lexus,NX 350h,missing,
2023,Lexus,NX 350h,missing,
2024,Lexus,NX 350h,missing,
2025,Lexus,NX 350h,missing,
2025,Lexus,NX 450h Plus,missing,
2022,Lexus,NX 450h+,missing,
2023,Lexus,NX 450h+,missing,
2016,Lexus,RC 200t,missing,
2017,Lexus,RC 200t,missing,
2016,Lexus,RC 300,missing,
2017,Lexus,RC 300,missing,
2018,Lexus,RC 300,missing,
2019,Lexus,RC 300,missing,
2020,Lexus,RC 300,missing,
2021,Lexus,RC 300,missing,
2022,Lexus,RC 300,missing,
2023,Lexus,RC 300,missing,
2024,Lexus,RC 300,missing,
2025,Lexus,RC 300,missing,
2015,Lexus,RC 350,missing,
2016,Lexus,RC 350,missing,
2017,Lexus,RC 350,missing,
2018,Lexus,RC 350,missing,
2019,Lexus,RC 350,missing,
2020,Lexus,RC 350,missing,
2021,Lexus,RC 350,missing,
2022,Lexus,RC 350,missing,
2023,Lexus,RC 350,missing,
2024,Lexus,RC 350,missing,
2025,Lexus,RC 350,missing,
2015,Lexus,RC F,missing,
2016,Lexus,RC F,missing,
2017,Lexus,RC F,missing,
2018,Lexus,RC F,missing,
2019,Lexus,RC F,missing,
2020,Lexus,RC F,missing,
2021,Lexus,RC F,missing,
2022,Lexus,RC F,missing,
2023,Lexus,RC F,missing,
2024,Lexus,RC F,missing,
2000,Lexus,RX 300,missing,
2001,Lexus,RX 300,missing,
2002,Lexus,RX 300,missing,
2003,Lexus,RX 300,missing,
2004,Lexus,RX 330,missing,
2005,Lexus,RX 330,missing,
2006,Lexus,RX 330,missing,
2007,Lexus,RX 350,missing,
2008,Lexus,RX 350,missing,
2009,Lexus,RX 350,missing,
2010,Lexus,RX 350,missing,
2011,Lexus,RX 350,missing,
2012,Lexus,RX 350,missing,
2013,Lexus,RX 350,missing,
2014,Lexus,RX 350,missing,
2015,Lexus,RX 350,missing,
2016,Lexus,RX 350,missing,
2017,Lexus,RX 350,missing,
2018,Lexus,RX 350,missing,
2019,Lexus,RX 350,missing,
2020,Lexus,RX 350,missing,
2021,Lexus,RX 350,missing,
2022,Lexus,RX 350,missing,
2023,Lexus,RX 350,missing,
2024,Lexus,RX 350,missing,
2025,Lexus,RX 350,missing,
2023,Lexus,RX 350h,missing,
2024,Lexus,RX 350h,missing,
2025,Lexus,RX 350h,missing,
2018,Lexus,RX 350l,missing,
2019,Lexus,RX 350l,missing,
2020,Lexus,RX 350l,missing,
2021,Lexus,RX 350l,missing,
2022,Lexus,RX 350l,missing,
2006,Lexus,RX 400h,missing,
2007,Lexus,RX 400h,missing,
2008,Lexus,RX 400h,missing,
2010,Lexus,RX 450h,missing,
2011,Lexus,RX 450h,missing,
2012,Lexus,RX 450h,missing,
2013,Lexus,RX 450h,missing,
2014,Lexus,RX 450h,missing,
2015,Lexus,RX 450h,missing,
2016,Lexus,RX 450h,missing,
2017,Lexus,RX 450h,missing,
2018,Lexus,RX 450h,missing,
2019,Lexus,RX 450h,missing,
2020,Lexus,RX 450h,missing,
2021,Lexus,RX 450h,missing,
2022,Lexus,RX 450h,missing,
2025,Lexus,RX 450h+,missing,
2018,Lexus,RX 450hl,missing,
2019,Lexus,RX 450hl,missing,
2020,Lexus,RX 450hl,missing,
2021,Lexus,RX 450hl,missing,
2022,Lexus,RX 450hl,missing,
2023,Lexus,RX 500h,missing,
2024,Lexus,RX 500h,missing,
2025,Lexus,RX 500h,missing,
2024,Lexus,RZ 300e,missing,
2025,Lexus,RZ 300e,missing,
2023,Lexus,RZ 450e,missing,
2024,Lexus,RZ 450e,missing,
2025,Lexus,RZ 450e,missing,
2000,Lexus,SC 300,missing,
2000,Lexus,SC 400,missing,
2002,Lexus,SC 430,missing,
2003,Lexus,SC 430,missing,
2004,Lexus,SC 430,missing,
2005,Lexus,SC 430,missing,
2006,Lexus,SC 430,missing,
2007,Lexus,SC 430,missing,
2008,Lexus,SC 430,missing,
2009,Lexus,SC 430,missing,
2010,Lexus,SC 430,missing,
2024,Lexus,TX 350,missing,
2025,Lexus,TX 350,missing,
2024,Lexus,TX 500h,missing,
2025,Lexus,TX 500h,missing,
2025,Lexus,TX 550h+,missing,
2019,Lexus,UX 200,missing,
2020,Lexus,UX 200,missing,
2021,Lexus,UX 200,missing,
2022,Lexus,UX 200,missing,
2019,Lexus,UX 250h,missing,
2020,Lexus,UX 250h,missing,
2021,Lexus,UX 250h,missing,
2022,Lexus,UX 250h,missing,
2023,Lexus,UX 250h,missing,
2024,Lexus,UX 250h,missing,
2025,Lexus,UX 300h,missing,
2003,Lincoln,Aviator,missing,
2004,Lincoln,Aviator,missing,
2005,Lincoln,Aviator,missing,
2002,Lincoln,Blackwood,missing,
2000,Lincoln,Continental,missing,
2001,Lincoln,Continental,missing,
2002,Lincoln,Continental,missing,
2018,Lincoln,Continental,missing,
2000,Lincoln,LS,missing,
2001,Lincoln,LS,missing,
2002,Lincoln,LS,missing,
2003,Lincoln,LS,missing,
2004,Lincoln,LS,missing,
2005,Lincoln,LS,missing,
2006,Lincoln,LS,missing,
2015,Lincoln,MKC,missing,
2007,Lincoln,MKZ,missing,
2008,Lincoln,MKZ,missing,
2009,Lincoln,MKZ,missing,
2010,Lincoln,MKZ,missing,
2011,Lincoln,MKZ,missing,
2012,Lincoln,MKZ,missing,
2011,Lincoln,MKZ Hybrid,missing,
2012,Lincoln,MKZ Hybrid,missing,
2013,Lincoln,MKZ Hybrid,missing,
2014,Lincoln,MKZ Hybrid,missing,
2015,Lincoln,MKZ Hybrid,missing,
2016,Lincoln,MKZ Hybrid,missing,
2017,Lincoln,MKZ Hybrid,missing,
2018,Lincoln,MKZ Hybrid,missing,
2019,Lincoln,MKZ Hybrid,missing,
2020,Lincoln,MKZ Hybrid,missing,
2006,Lincoln,Mark LT,missing,
2007,Lincoln,Mark LT,missing,
2008,Lincoln,Mark LT,missing,
2026,Lincoln,Nautilus,missing,
2000,Lincoln,Navigator,missing,
2001,Lincoln,Navigator,missing,
2002,Lincoln,Navigator,missing,
2003,Lincoln,Navigator,missing,
2004,Lincoln,Navigator,missing,
2005,Lincoln,Navigator,missing,
2006,Lincoln,Navigator,missing,
2025,Lincoln,Navigator,missing,
2007,Lincoln,Navigator L,missing,
2008,Lincoln,Navigator L,missing,
2009,Lincoln,Navigator L,missing,
2010,Lincoln,Navigator L,missing,
2011,Lincoln,Navigator L,missing,
2012,Lincoln,Navigator L,missing,
2013,Lincoln,Navigator L,missing,
2014,Lincoln,Navigator L,missing,
2015,Lincoln,Navigator L,missing,
2016,Lincoln,Navigator L,missing,
2017,Lincoln,Navigator L,missing,
2018,Lincoln,Navigator L,missing,
2019,Lincoln,Navigator L,missing,
2020,Lincoln,Navigator L,missing,
2021,Lincoln,Navigator L,missing,
2022,Lincoln,Navigator L,missing,
2023,Lincoln,Navigator L,missing,
2024,Lincoln,Navigator L,missing,
2025,Lincoln,Navigator L,missing,
2006,Lincoln,Zephyr,missing,
2023,Lordstown,Endurance,missing,
2025,Lotus,Eletre,missing,
2005,Lotus,Elise,missing,
2006,Lotus,Elise,missing,
2007,Lotus,Elise,missing,
2008,Lotus,Elise,missing,
2009,Lotus,Elise,missing,
2010,Lotus,Elise,missing,
2011,Lotus,Elise,missing,
2024,Lotus,Emira,missing,
2003,Lotus,Esprit,missing,
2004,Lotus,Esprit,missing,
2010,Lotus,Evora,missing,
2011,Lotus,Evora,missing,
2012,Lotus,Evora,missing,
2013,Lotus,Evora,missing,
2014,Lotus,Evora,missing,
2017,Lotus,Evora 400,missing,
2018,Lotus,Evora 400,missing,
2021,Lotus,Evora GT,missing,
2006,Lotus,Exige,missing,
2007,Lotus,Exige,missing,
2008,Lotus,Exige,missing,
2009,Lotus,Exige,missing,
2010,Lotus,Exige,missing,
2011,Lotus,Exige,missing,
2022,Lucid,AIR,missing,
2023,Lucid,AIR,missing,
2025,Lucid,AIR,missing,
2026,Lucid,AIR,missing,
2026,Lucid,Gravity,missing,
2003,Maserati,Coupe,missing,
2004,Maserati,Coupe,missing,
2005,Maserati,Coupe,missing,
2006,Maserati,Coupe,missing,
2024,Maserati,Grancabrio,missing,
2025,Maserati,Grancabrio Folgore,missing,
2005,Maserati,Gransport,missing,
2006,Maserati,Gransport,missing,
2008,Maserati,Granturismo,missing,
2009,Maserati,Granturismo,missing,
2010,Maserati,Granturismo,missing,
2011,Maserati,Granturismo,missing,
2012,Maserati,Granturismo,missing,
2013,Maserati,Granturismo,missing,
2014,Maserati,Granturismo,missing,
2015,Maserati,Granturismo,missing,
2016,Maserati,Granturismo,missing,
2017,Maserati,Granturismo,missing,
2018,Maserati,Granturismo,missing,
2019,Maserati,Granturismo,missing,
2024,Maserati,Granturismo,missing,
2025,Maserati,Granturismo Folgore,missing,
2023,Maserati,Grecale,missing,
2024,Maserati,Grecale,missing,
2025,Maserati,Grecale,missing,
2025,Maserati,Grecale Folgore,missing,
2022,Maserati,Mc20,missing,
2023,Maserati,Mc20,missing,
2024,Maserati,Mc20,missing,
2005,Maserati,Quattroporte,missing,
2006,Maserati,Quattroporte,missing,
2007,Maserati,Quattroporte,missing,
2008,Maserati,Quattroporte,missing,
2009,Maserati,Quattroporte,missing,
2010,Maserati,Quattroporte,missing,
2011,Maserati,Quattroporte,missing,
2012,Maserati,Quattroporte,missing,
2003,Maserati,Spyder,missing,
2004,Maserati,Spyder,missing,
2005,Maserati,Spyder,missing,
2004,Maybach,57,missing,
2005,Maybach,57,missing,
2006,Maybach,57,missing,
2007,Maybach,57,missing,
2008,Maybach,57,missing,
2009,Maybach,57,missing,
2010,Maybach,57,missing,
2011,Maybach,57,missing,
2012,Maybach,57,missing,
2004,Maybach,62,missing,
2005,Maybach,62,missing,
2006,Maybach,62,missing,
2007,Maybach,62,missing,
2008,Maybach,62,missing,
2009,Maybach,62,missing,
2010,Maybach,62,missing,
2011,Maybach,62,missing,
2012,Maybach,62,missing,
2009,Maybach,Landaulet,missing,
2010,Maybach,Landaulet,missing,
2012,Maybach,Landaulet,missing,
2000,Mazda,626,missing,
2001,Mazda,626,missing,
2002,Mazda,626,missing,
2001,Mazda,B2300,missing,
2002,Mazda,B2300,missing,
2003,Mazda,B2300,missing,
2004,Mazda,B2300,missing,
2005,Mazda,B2300,missing,
2006,Mazda,B2300,missing,
2007,Mazda,B2300,missing,
2008,Mazda,B2300,missing,
2009,Mazda,B2300,missing,
2000,Mazda,B2500,missing,
2001,Mazda,B2500,missing,
2000,Mazda,B3000,missing,
2001,Mazda,B3000,missing,
2002,Mazda,B3000,missing,
2003,Mazda,B3000,missing,
2004,Mazda,B3000,missing,
2005,Mazda,B3000,missing,
2006,Mazda,B3000,missing,
2007,Mazda,B3000,missing,
2000,Mazda,B4000,missing,
2001,Mazda,B4000,missing,
2002,Mazda,B4000,missing,
2003,Mazda,B4000,missing,
2004,Mazda,B4000,missing,
2005,Mazda,B4000,missing,
2006,Mazda,B4000,missing,
2007,Mazda,B4000,missing,
2008,Mazda,B4000,missing,
2009,Mazda,B4000,missing,
2019,Mazda,CX 5,missing,
2025,Mazda,CX 50 Hybrid,missing,
2025,Mazda,CX 70,missing,
2025,Mazda,CX 70 Phev,missing,
2007,Mazda,CX 9,missing,
2024,Mazda,CX 90 Phev,missing,
2025,Mazda,CX 90 Phev,missing,
2000,Mazda,MPV,missing,
2001,Mazda,MPV,missing,
2002,Mazda,MPV,missing,
2022,Mazda,MX 30 EV,missing,
2023,Mazda,MX 30 EV,missing,
2006,Mazda,MX 5,missing,
2007,Mazda,MX 5,missing,
2008,Mazda,MX 5,missing,
2000,Mazda,MX 5 Miata,missing,
2001,Mazda,MX 5 Miata,missing,
2002,Mazda,MX 5 Miata,missing,
2003,Mazda,MX 5 Miata,missing,
2004,Mazda,MX 5 Miata,missing,
2005,Mazda,MX 5 Miata,missing,
2009,Mazda,MX 5 Miata,missing,
2010,Mazda,MX 5 Miata,missing,
2011,Mazda,MX 5 Miata,missing,
2012,Mazda,MX 5 Miata,missing,
2013,Mazda,MX 5 Miata,missing,
2014,Mazda,MX 5 Miata,missing,
2015,Mazda,MX 5 Miata,missing,
2016,Mazda,MX 5 Miata,missing,
2017,Mazda,MX 5 Miata,missing,
2018,Mazda,MX 5 Miata,missing,
2019,Mazda,MX 5 Miata,missing,
2020,Mazda,MX 5 Miata,missing,
2021,Mazda,MX 5 Miata,missing,
2022,Mazda,MX 5 Miata,missing,
2023,Mazda,MX 5 Miata,missing,
2024,Mazda,MX 5 Miata,missing,
2025,Mazda,MX 5 Miata,missing,
2017,Mazda,MX 5 Miata RF,missing,
2018,Mazda,MX 5 Miata RF,missing,
2019,Mazda,MX 5 Miata RF,missing,
2020,Mazda,MX 5 Miata RF,missing,
2021,Mazda,MX 5 Miata RF,missing,
2022,Mazda,MX 5 Miata RF,missing,
2023,Mazda,MX 5 Miata RF,missing,
2024,Mazda,MX 5 Miata RF,missing,
2025,Mazda,MX 5 Miata RF,missing,
2011,Mazda,Mazda2,missing,
2012,Mazda,Mazda2,missing,
2013,Mazda,Mazda2,missing,
2025,Mazda,Mazda3 Hatchback,missing,
2025,Mazda,Mazda3 Sedan,missing,
2003,Mazda,Mazda6,missing,
2011,Mazda,Mazda6,missing,
2004,Mazda,Mazdaspeed MX 5 Miata,missing,
2005,Mazda,Mazdaspeed MX 5 Miata,missing,
2003,Mazda,Mazdaspeed Protege,missing,
2007,Mazda,Mazdaspeed3,missing,
2008,Mazda,Mazdaspeed3,missing,
2009,Mazda,Mazdaspeed3,missing,
2010,Mazda,Mazdaspeed3,missing,
2011,Mazda,Mazdaspeed3,missing,
2012,Mazda,Mazdaspeed3,missing,
2013,Mazda,Mazdaspeed3,missing,
2006,Mazda,Mazdaspeed6,missing,
2007,Mazda,Mazdaspeed6,missing,
2000,Mazda,Millenia,missing,
2001,Mazda,Millenia,missing,
2002,Mazda,Millenia,missing,
2000,Mazda,Protege,missing,
2001,Mazda,Protege,missing,
2002,Mazda,Protege,missing,
2003,Mazda,Protege,missing,
2002,Mazda,Protege5,missing,
2003,Mazda,Protege5,missing,
2004,Mazda,RX 8,missing,
2005,Mazda,RX 8,missing,
2006,Mazda,RX 8,missing,
2007,Mazda,RX 8,missing,
2008,Mazda,RX 8,missing,
2009,Mazda,RX 8,missing,
2010,Mazda,RX 8,missing,
2011,Mazda,RX 8,missing,
2008,Mazda,Tribute Hybrid,missing,
2009,Mazda,Tribute Hybrid,missing,
2017,Mclaren,570gt,missing,
2018,Mclaren,570gt,missing,
2019,Mclaren,570gt,missing,
2016,Mclaren,570s,missing,
2017,Mclaren,570s,missing,
2018,Mclaren,570s,missing,
2019,Mclaren,570s,missing,
2020,Mclaren,570s,missing,
2021,Mclaren,570s,missing,
2019,Mclaren,600lt,missing,
2020,Mclaren,600lt,missing,
2015,Mclaren,650s,missing,
2016,Mclaren,650s,missing,
2016,Mclaren,675lt,missing,
2018,Mclaren,720s,missing,
2019,Mclaren,720s,missing,
2020,Mclaren,720s,missing,
2021,Mclaren,720s,missing,
2022,Mclaren,720s,missing,
2023,Mclaren,720s,missing,
2024,Mclaren,750s,missing,
2025,Mclaren,750s,missing,
2022,Mclaren,765lt,missing,
2023,Mclaren,Artura,missing,
2024,Mclaren,Artura,missing,
2025,Mclaren,Artura,missing,
2020,Mclaren,GT,missing,
2022,Mclaren,GT,missing,
